Support Cluster,Support Item,Support Item Ref No,Support Item Description,Unit of Measure,Quote Required,List Price,Support Categories,Support Category Number
Personal Mobility Equipment,foot orthoses,06 12 03 02,,Each,Y,$380.00 ,Assistive technology,5
Personal Mobility Equipment,ankle-foot orthoses prefabricated- average price,06 12 06 00,,Each,Y,$980.00 ,Assistive technology,5
Personal Mobility Equipment,ankle-foot orthoses prefabricated sizes 1-4,06 12 06 01,,Each,Y,$55.00 ,Assistive technology,5
Personal Mobility Equipment,"ankle-foot orthoses prefabricated reg, large, xlge",06 12 06 02,,Each,Y,$90.00 ,Assistive technology,5
Personal Mobility Equipment,ankle-foot orthoses ankle joint,06 12 06 03,,Each,Y,$995.00 ,Assistive technology,5
Personal Mobility Equipment,ankle-foot orthoses (AFO) static custom made,06 12 06 04,,Each,Y,$300.00 ,Assistive technology,5
Personal Mobility Equipment,knee orthoses,06 12 09 01,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,knee-ankle-foot orthoses,06 12 12 01,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,leg orthoses,06 12 13 01,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,hip orthoses,06 12 15 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,hip-knee orthoses,06 12 16 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,thigh orthoses,06 12 17 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,hip-knee-ankle-foot orthoses,06 12 18 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,thoracolumbar/lumbo-sacral - hip - knee - ankle - foot orthoses,06 12 19 00,,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,partial hand prostheses,06 18 03 01,,Each,Y,"$1,800.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,wrist disarticulation prostheses,06 18 06 00,,Each,Y,"$3,360.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,trans-radial prostheses,06 18 09 00,,Each,Y,"$3,970.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,trans-humeral prostheses,06 18 15 00,,Each,Y,"$5,400.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,forequarter amputation prostheses,06 18 21 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,other lower limb prostheses,06 24 00 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,partial foot prostheses- average,06 24 03 01,,Each,Y,"$1,870.00 ",Assistive technology,5
Personal Mobility Equipment,ankle disarticulation prostheses- average,06 24 06 00,,Each,Y,"$3,360.00 ",Assistive technology,5
Personal Mobility Equipment,trans-tibial prostheses- average,06 24 09 00,,Each,Y,"$4,500.00 ",Assistive technology,5
Personal Mobility Equipment,trans-femoral prostheses- average,06 24 15 00,,Each,Y,"$8,550.00 ",Assistive technology,5
Personal Mobility Equipment,hip disarticulation prostheses- average,06 24 18 00,,Each,Y,"$11,500.00 ",Assistive technology,5
Personal Mobility Equipment,trans-pelvic prostheses,06 24 21 00,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,custom made footwear,06 33 09 01,Pair of shoes made for a participant who is unable to fit off the shelf or specialist shoes.,Each,Y,$350.00 ,Assistive technology,5
Personal Mobility Equipment,extra depth footwear,06 33 09 02,Pair of shoes with extra depth or width that are commercially available,Each,Y,$250.00 ,Assistive technology,5
Personal Mobility Equipment,shoe modifications- ie raise,06 33 09 03,adjustments to regular shoes required due to disability,Each,Y,$100.00 ,Assistive technology,5
"Assist-Life Stage, Transition","assistance with decision making, daily planning, budgeting",08 001,"Provision of time limited support to assist a person to develop and maintain daily budget, including assisting in planning purchases.",Hour,N,$41.18 ,Improved daily living skills,4
"Assist-Life Stage, Transition",support connection,08 002,"Assistance to strengthen participant’s abilities to coordinate supports & participate in the community. This includes resolving points of crisis, developing capacity & resilience in a participant's network & coordinating supports from a range of sources.",Hour,N,$55.50 ,Improved life choices,14
"Assist-Life Stage, Transition",coordination of supports,08 003,"Further qualifications/experience required to strengthen a higher needs participant’s ability to coordinate their supports & participate in the community. This may include resolving points of crisis, & developing resilience in the participant's network.",Hour,N,$90.46 ,Improved life choices,14
"Assist-Life Stage, Transition","Life transition planning includes mentoring, peer support and focus on individual skill development.",08 005,"Establishing volunteer assistance within the participant’s home or community to develop skills. For instance, assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others.",Hour,N,$55.50 ,Increased social and community participation,9
"Assist-Life Stage, Transition",specialist support coordination,08 006,"Time limited support coordination, within specialist framework necessitated by high risks in participant's situation, to address barriers and reduce complexity in environment, assisting to connect with supports, build capacity and resilience. ",Hour,N,$172.13 ,Improved life choices,14
Assist Prod-Pers Care/Safety,personal care and safety equipment- other,09 00 00 01,"Includes other reasonable and necessary personal care and safety equipment not listed, due to impact of participant's disability.",Each,Y,$1.00 ,Assistive technology,5
Assist-Personal Activities,assistance with self-care - active overnight,09 001,"Assistance with, or supervision of, personal tasks of daily living where  overnight support is needed and the care giver will not have the option to sleep",Hour,N,$45.96 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance from live-in carer,09 002,"A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,Y,$1.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with personal domestic activities,09 004,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home & has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house & yard work.,Hour,N,$39.08 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities on Public Holidays - higher intensity,09 005,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$94.01 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities on Saturdays - higher intensity,09 006,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$60.31 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities on Sundays - higher intensity,09 007,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$77.16 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities during daytime weekdays - higher intensity,09 008,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$43.47 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities per weekday evening - higher intensity,09 009,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$47.67 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care - night-time sleepover,09 010,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support.",Each,N,$179.40 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities during daytime weekdays,09 011,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$41.18 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities on Public Holidays,09 012,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$89.06 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities on Saturdays,09 013,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$57.13 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities on Sundays,09 014,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$73.11 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care activities per weekday evening,09 015,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",Hour,N,$45.17 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,specialised home based assistance for a child,09 016,Specialist assistance in the home required due to additional requirements of the child’s disability; may be provided to strengthen the sustainability of informal supports.,Hour,N,$41.18 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,"overnight monitoring of self-care - off site or onsite, on call (incl 1 hr assist)",09 025,"Overnight on-call assistance with, or supervision of, personal tasks of daily living.",Each,Y,$1.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,assistance with self-care - overnight - higher intensity,09 026,"Assistance with, or supervision of, personal tasks of daily living where intensive overnight support is needed and the care giver will not have the option to sleep",Hour,N,$48.53 ,"Assistance with daily life at home in the community, education and at work",1
Assist-Personal Activities,Establishment Fee for Personal Care/Community Access,09 027,Establishment Fee for Personal Care/Community Access (.20 hours per month).,Each,N,$1.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,helmets,09 06 03 00,protective helmet for people with seizures or falls etc,Each,Y,$170.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode adjustable folding,09 12 03 01,,Each,Y,$300.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode adjustable height,09 12 03 02,,Each,Y,$130.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode extra wide,09 12 03 03,,Each,N,$370.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bedside commode bari 650mm w,09 12 03 04,,Each,N,$560.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- self propel folding,09 12 03 11,,Each,N,"$1,500.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- low transporter,09 12 03 12,,Each,Y,$885.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- bari transporter- 550w,09 12 03 13,,Each,Y,"$1,400.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- child transporter,09 12 03 15,,Each,Y,"$1,250.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- child self propel,09 12 03 17,,Each,Y,"$1,630.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- child,09 12 03 18,,Each,Y,"$1,700.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- potty child,09 12 03 19,,Each,Y,$970.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- potty junior,09 12 03 20,,Each,Y,$770.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- transporter slide hi,09 12 03 22,,Each,Y,$880.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,mobile shower commode- specialised child with supports,09 12 03 24,,Each,Y,"$1,040.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,toilet surround adjustable,09 12 12 01,,Each,Y,$60.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet surround padded arms,09 12 12 02,,Each,Y,$95.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,raised toilet seats fixed to toilet,09 12 21 04,,Each,Y,$100.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise adjustable,09 12 21 07,,Each,Y,$75.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise adjustable wide,09 12 21 08,,Each,Y,$100.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise folding,09 12 21 09,,Each,Y,$125.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise 550 wide,09 12 21 10,,Each,Y,$250.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise 600 wide,09 12 21 11,,Each,Y,$280.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,seat toilet raise 650 wide,09 12 21 12,,Each,Y,$310.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,arm and back supports mounted on toilet,09 12 24 00,,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,"arm supports and toilet back supports, free-standing",09 12 25 00,,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,continence package A - child annual amount,09 24 03 01,"Indwelling catheters, bags, night bottle or bags and change kits.",Each,N,"$1,220.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence package A - adult annual amount,09 24 03 02,"indwelling catheters, bags, night bottle or bags and change kits.",Each,N,"$1,220.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence products - other for child,09 24 06 01,Individualised continence package or products not listed elsewhere in this list.,Each,N,$50.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence package B - intermittent mild - annual amount,09 24 06 05,3 per day intermittent catheters with gel and lubricant - annual amount.,Each,Y,"$1,082.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence package C - intermittent moderate annual amount,09 24 06 06,4 per day intermittent catheters with gel and lubricant - annual amount.,Each,Y,"$1,295.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence package D - intermittent higher needs annual amount,09 24 06 07,6 per day intermittent catheters with gel and lubricant - annual amount.,Each,Y,"$2,390.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence products - other for adult,09 24 06 10,,Each,N,$50.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult intermittent catheters standard 3/day- annual,09 24 06 15,,Each,N,"$1,095.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult intermittent catheters standard 4/day- annual,09 24 06 16,,Each,N,"$1,460.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult intermittent catheters standard 6/day- annual,09 24 06 17,,Each,N,"$2,190.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,continence package E- external,09 24 09 05,"sheaths, leg bags, drain bag or bottle, straps- annual amount",Each,Y,"$1,570.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,child nappy single-use 3/day - annual supply,09 30 12 11,Nappy for a child’s disability specific needs,Each,Y,$600.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,child nappy single-use 4/day - annual supply,09 30 12 12,Nappy for a child’s disability specific needs,Each,Y,$800.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,child nappy single-use 6/day - annual supply,09 30 12 13,Nappy for a child’s disability specific needs,Each,Y,"$1,180.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,child nappy single-use 12/day - annual supply,09 30 12 14,Nappy for a child’s disability specific needs,Each,Y,"$2,365.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,washable incontinence sheets,09 30 15 00,,Each,Y,$25.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 3/day - annual supply,09 30 18 05,,Each,Y,$624.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 4/day - annual supply,09 30 18 06,,Each,Y,$817.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 6/day - annual supply,09 30 18 07,,Each,Y,"$1,226.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,single-use inserts / pads-adult 12/day - annual supply,09 30 18 08,,Each,Y,"$2,452.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 3/day- annual supply,09 30 21 01,single-use diapers,Each,N,"$1,675.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 4/day- annual supply,09 30 21 02,single-use diapers,Each,N,"$2,233.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 6/day- annual supply,09 30 21 03,single-use diapers,Each,N,"$3,350.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,adult absorbent pull up or brief 12/day- annual supply,09 30 21 04,single-use diapers,Each,N,"$6,700.00 ","Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,chair shower adjustable with arms wide,09 33 03 03,,Each,Y,$85.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower bariatric 175kgs,09 33 03 04,,Each,Y,$370.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower swivel type,09 33 03 05,e.g. myco,Each,Y,$375.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower bariatric 195kgs,09 33 03 06,,Each,Y,$385.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,chair shower bariatric 210kgs,09 33 03 07,,Each,Y,$395.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,stool shower adjustable with arms,09 33 03 11,,Each,Y,$65.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,stool shower adjustable with back,09 33 03 13,,Each,Y,$180.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,specialised shower trolley,09 33 03 22,,Each,Y,"$3,320.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,bathboard plastic no handle,09 33 03 31,,Each,N,$60.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bath corner seat size 1,09 33 03 41,,Each,Y,$550.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bath corner seat size 2,09 33 03 42,,Each,Y,$600.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bath support for child under 5,09 33 03 70,"Postural support inserted into a bath or placed on a stand, for a child unable to sit unaided safely.",Each,N,$350.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,bath support over 5 years,09 33 03 71,"Postural support inserted into a bath or placed on a stand, for a participant unable to sit or recline unaided safely.",Each,N,$500.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,change table- electronic,09 33 12 01,,Each,Y,"$3,700.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,change table manual,09 33 12 02,,Each,Y,"$2,500.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,bidets- detachable,09 33 18 00,equipment attached to toilet with air and water dispenser for washing following toileting,Each,Y,$400.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,insert for reducing length or depth of a bathtub,09 33 27 00,,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,specialised seating for bathroom equipment,09 33 30 99,custom made seating for shower commode or like bathroom item.,Each,Y,$200.00 ,Assistive technology,5
Assist-Travel/Transport,transport,10 001,"Where a participant is unable to use public transport because of their disability, transport can be funded for a taxi, carer or community transport. Owners of private vehicles (carers/individuals) can claim mileage up to $0.78/km. Other providers quote.",Each,Y,"$1,574.40 ",Transport to access daily activities,2
Vehicle modifications,rental of adapted vehicle,10 002,,Each,Y,$1.00 ,Vehicle modifications,6
Behaviour Support,intensive behavioural intervention support,11 004,"Highly specialised intensive support interventions to address significantly harmful or persistent behaviours of concern. Development of behaviour support plans that temporarily use restrictive practices, with  intention to minimise use of these practices.",Hour,N,$188.93 ,Improved relationships,11
Behaviour Support,"behaviour management plan, training in behaviour management strategies",11 006,Training for carers and others in behaviour management strategies required due the persons disability.,Hour,N,$172.13 ,Improved relationships,11
Vehicle modifications,ramps to place wheelchair in vehicle without occupant,12 00 00 01,,Each,Y,$770.00 ,Vehicle modifications,6
Personal Mobility Equipment,walking sticks and canes,12 03 03 01,,Each,N,$20.00 ,Assistive technology,5
Personal Mobility Equipment,quadrapod walking stick,12 03 03 02,,Each,N,$35.00 ,Assistive technology,5
Personal Mobility Equipment,elbow crutches,12 03 06 01,,Each,Y,$60.00 ,Assistive technology,5
Personal Mobility Equipment,forearm support crutches,12 03 09 00,,Each,Y,$100.00 ,Assistive technology,5
Personal Mobility Equipment,walking frame,12 06 03 01,,Each,Y,$55.00 ,Assistive technology,5
Personal Mobility Equipment,walking frame- bariatric 180 kg,12 06 03 02,,Each,Y,$170.00 ,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame bariatric,12 06 06 10,Wheeled walker with frame for a participant with an increased weight in obese range.,Each,Y,$205.00 ,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame 6 wheel,12 06 06 11,,Each,Y,$80.00 ,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame junior gutter,12 06 06 19,,Each,Y,$300.00 ,Assistive technology,5
Personal Mobility Equipment,wheeled walker - with frame adult gutter,12 06 06 20,,Each,Y,$350.00 ,Assistive technology,5
Personal Mobility Equipment,wheeled walker-walker posterior,12 06 06 21,,Each,Y,"$1,230.00 ",Assistive technology,5
Personal Mobility Equipment,four wheeled walker with brakes and seat,12 06 06 50,,Each,Y,$230.00 ,Assistive technology,5
Personal Mobility Equipment,rollator with supports,12 06 06 54,,Each,Y,$1.00 ,Assistive technology,5
Personal Mobility Equipment,walking chairs for children aka gait trainers,12 06 09 01,devices with a sling or seat that support the body when walking,Each,Y,"$4,560.00 ",Assistive technology,5
Personal Mobility Equipment,walking tables,12 06 09 02,devices with wheels and supporting table or forearm support,Each,N,$740.00 ,Assistive technology,5
Vehicle modifications,specialised child car seats,12 10 00 00,,Each,Y,$850.00 ,Vehicle modifications,6
Vehicle modifications,adaptions to control speed of car,12 12 04 00,,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,adapted brake/parking brake,12 12 05 00,,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,adapted steering system for car,12 12 07 00,,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,"adapted mirrors, door locks for car",12 12 08 00,,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,seat belts/harnesses for vehicles,12 12 09 00,,Each,Y,$675.00 ,Vehicle modifications,6
Vehicle modifications,adapted seating in vehicles,12 12 12 00,,Each,Y,$1.00 ,Vehicle modifications,6
Vehicle modifications,vehicle hoists person only,12 12 15 00,,Each,Y,"$3,500.00 ",Vehicle modifications,6
Vehicle modifications,vehicle adaption for wheelchair passenger,12 12 18 00,Hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required,Each,Y,"$12,000.00 ",Vehicle modifications,6
Vehicle modifications,adapt vehicle self driver+ wheelchair,12 12 18 02,"Remote access, basic self drive plus vehicle hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required",Each,Y,"$30,000.00 ",Vehicle modifications,6
